title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Resident Evil: Apocalypse",movie,"Action, Horror, Sci-Fi",2004,tt0318627,6.1,215788,
"The Holiday",movie,"Comedy, Romance",2006,tt0457939,7,348295,
Lammbock,movie,"Comedy, Crime",2001,tt0258760,7.2,12144,
"School of Rock",movie,"Comedy, Music",2003,tt0332379,7.2,345016,
"Secret Window",movie,"Drama, Mystery, Thriller",2004,tt0363988,6.5,215835,
"What's Eating Gilbert Grape",movie,Drama,1993,tt0108550,7.7,261807,
"Bring It On",movie,"Comedy, Romance, Sport",2000,tt0204946,6.2,110001,
"Primal Fear",movie,"Crime, Drama, Mystery",1996,tt0117381,7.7,259887,
Hitman,movie,"Action, Crime, Thriller",2007,tt0465494,6.2,183073,
"Liar Liar",movie,"Comedy, Fantasy",1997,tt0119528,6.9,349468,
"The People vs. Larry Flynt",movie,"Biography, Drama",1996,tt0117318,7.3,103366,
"Fried Green Tomatoes",movie,Drama,1991,tt0101921,7.7,87428,
"Free Willy",movie,"Adventure, Drama, Family",1993,tt0106965,6,86048,
"The Island",movie,"Action, Sci-Fi, Thriller",2005,tt0399201,6.8,334210,
"The Net",movie,"Action, Crime, Drama",1995,tt0113957,6,77154,
"Freedom Writers",movie,"Biography, Crime, Drama",2007,tt0463998,7.6,89241,
"The Motorcycle Diaries",movie,"Adventure, Biography, Drama",2004,tt0318462,7.7,106918,
"The Legend of Zorro",movie,"Action, Adventure, Romance",2005,tt0386140,6,111172,
Hostel,movie,Horror,2005,tt0450278,5.9,198164,
"Hostel: Part II",movie,Horror,2007,tt0498353,5.5,99258,
Anatomy,movie,"Horror, Thriller",2000,tt0187696,6,14397,
"The Cider House Rules",movie,"Drama, Romance",1999,tt0124315,7.4,107301,
"The Incredible Hulk",movie,"Action, Adventure, Sci-Fi",2008,tt0800080,6.6,543333,
"Iron Man",movie,"Action, Adventure, Sci-Fi",2008,tt0371746,7.9,1172328,
"The Forbidden Kingdom",movie,"Action, Adventure, Fantasy",2008,tt0865556,6.5,111623,
"The Mummy Returns",movie,"Action, Adventure, Fantasy",2001,tt0209163,6.4,357613,
Next,movie,"Action, Sci-Fi, Thriller",2007,tt0435705,6.2,170619,
Footloose,movie,"Drama, Music, Romance",1984,tt0087277,6.6,97958,
"The Devil's Advocate",movie,"Drama, Fantasy, Mystery",1997,tt0118971,7.5,422792,
